Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

2.22,  -2427.3042999999998      ,   5903874.1148640001      ,   109.85422188296306      ,   1.3931273572934806E-002 ,   835.81381599999997      ,   1487690.7627999999      ,   888.31640071740094      ,   400.14252284567607      ,              1000000 ,               161665

2.22,  -2426.6725360000000      ,   5901148.6667520003      ,   111.39600430593985      ,   1.4126796260695641E-002 ,  -83.357545999999999      ,   1481091.5781560000      ,   1214.1429477952165      ,   546.91123774559298      ,              1000000 ,               161705

2.22,  -2427.8359999999998      ,   5906359.2581759999      ,   109.41487686782128      ,   1.3875557593212460E-002 ,  -213.50099200000000      ,   1489800.6794159999      ,   1201.7562173049141      ,   541.33162941662795      ,              1000000 ,               161716

2.22,  -2424.3042919999998      ,   5889929.6961439997      ,   112.59838335597745      ,   1.4279277168550826E-002 ,  -118.78545400000000      ,   1469865.3843000000      ,   1206.5468910150214      ,   543.48959054730688      ,              1000000 ,               162053

2.22,  -2427.3063240000001      ,   5904165.5162720000      ,   111.12842004458633      ,   1.4092862293617898E-002 ,  -140.90904800000001      ,   1487545.3884560000      ,   1211.4825746364384      ,   545.71287145785504      ,              1000000 ,               161595

2.22,  -2423.7081720000001      ,   5887064.6195360003      ,   112.70899039747455      ,   1.4293303911699858E-002 ,   438.63237199999998      ,   1466875.7934719999      ,   1128.9275599903006      ,   508.52592792355875      ,              1000000 ,               162233

2.22,  -2427.1378399999999      ,   5903279.1048640003      ,   110.81972073658609      ,   1.4053714280571037E-002 ,   112.90182200000000      ,   1485209.4840680000      ,   1213.4507252695018      ,   546.59942579707285      ,              1000000 ,               161008

2.22,  -2432.1195520000001      ,   5926996.4618880004      ,   108.58612557467535      ,   1.3770458664916014E-002 ,  -1201.4247960000000      ,   1507759.3244960001      ,   253.64893859891959      ,   114.25627864816197      ,              1000000 ,               159773

2.22,  -2425.3649559999999      ,   5895143.0485600000      ,   112.90650453857293      ,   1.4318351866043355E-002 ,  -130.86734600000000      ,   1474225.3062920000      ,   1207.1035763524671      ,   543.74034970831849      ,              1000000 ,               161797

