Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

1.85,  -2937.3961559999998      ,   8631018.6935520004      ,   52.177737287321015      ,   9.5284399721185190E-003 ,  -1517.3479720000000      ,   2302786.6768959998      ,   21.019247452913220      ,   11.361755379953092      ,              1000000 ,                48797

1.85,  -2937.7579000000001      ,   8633134.9267360009      ,   52.090764283026580      ,   9.5125573928098190E-003 ,  -1517.5408820000000      ,   2303369.4001799999      ,   20.954036333410858      ,   11.326506126168031      ,              1000000 ,                48784

1.85,  -2937.5918080000001      ,   8632155.9062079992      ,   52.060309058726538      ,   9.5069958105782563E-003 ,  -1517.4751639999999      ,   2303167.9670159998      ,   20.906785003276607      ,   11.300964866636003      ,              1000000 ,                48689

1.85,  -2937.5850519999999      ,   8632134.2903840002      ,   52.233635237824558      ,   9.5386477790037529E-003 ,  -1517.4579639999999      ,   2303120.2432720000      ,   21.013585247993522      ,   11.358694728645146      ,              1000000 ,                49303

1.85,  -2937.4122080000002      ,   8631111.5481599998      ,   52.163861557242257      ,   9.5259060550113676E-003 ,  -1517.3696680000000      ,   2302851.5081199999      ,   20.995207871544597      ,   11.348761011645728      ,              1000000 ,                48892

1.85,  -2937.5770440000001      ,   8632069.5827040002      ,   52.064318570599497      ,   9.5077280077793067E-003 ,  -1517.5151539999999      ,   2303286.7808200000      ,   20.845579875756201      ,   11.267881013922270      ,              1000000 ,                48540

1.85,  -2937.2981679999998      ,   8630447.9993280005      ,   52.225200735326567      ,   9.5371075119296128E-003 ,  -1517.3250200000000      ,   2302715.7576080002      ,   20.989075491779417      ,   11.345446211772657      ,              1000000 ,                49156

1.85,  -2937.5384800000002      ,   8631859.2046399992      ,   52.219566824010272      ,   9.5360786749470895E-003 ,  -1517.4427260000000      ,   2303070.8191080000      ,   20.937822658740188      ,   11.317741977697398      ,              1000000 ,                48823

1.85,  -2937.2476360000001      ,   8630140.9543839991      ,   52.127528201608683      ,   9.5192710375472372E-003 ,  -1517.3440060000000      ,   2302768.5456119999      ,   20.873741108674892      ,   11.283103301986428      ,              1000000 ,                48770

