Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

2.95,  -1340.7425840000001      ,   1803529.6599359999      ,   77.064799908925380      ,   5.5346739377280510E-003 ,  -8.6097999999999994E-002 ,   20331.317844000001      ,   142.58790422449724      ,   48.334882787965164      ,              1000000 ,               450489

2.95,  -1340.5789560000001      ,   1803068.6823519999      ,   76.920381446985473      ,   5.5243020286545154E-003 ,  0.92925800000000003      ,   20314.223892000002      ,   142.52494648856893      ,   48.313541182565736      ,              1000000 ,               450956

2.95,  -1340.5881440000001      ,   1803092.5800640001      ,   76.915591596471501      ,   5.5239580290485134E-003 ,  0.49041400000000002      ,   20389.721259999998      ,   142.79173909616972      ,   48.403979354633798      ,              1000000 ,               450486

2.95,  -1340.7859440000000      ,   1803632.4133120000      ,   76.977046475095690      ,   5.5283716227445918E-003 ,  -1.6542460000000001      ,   20366.380659999999      ,   142.70124081510812      ,   48.373301971223093      ,              1000000 ,               450161

2.95,  -1341.1276280000000      ,   1804537.7908640001      ,   76.905632297601485      ,   5.5232427677105343E-003 ,  -1.4245420000000000      ,   20253.724195999999      ,   142.30844977052570      ,   48.240152464584980      ,              1000000 ,               449780

2.95,  -1340.7918800000000      ,   1803656.3909440001      ,   77.029380563948791      ,   5.5321301755205969E-003 ,  -6.4028000000000002E-002 ,   20254.697528000001      ,   142.31898477861347      ,   48.243723653767276      ,              1000000 ,               450555

2.95,  -1341.5888600000001      ,   1805783.5855520000      ,   76.960485158944323      ,   5.5271822148049640E-003 ,  -6.2294000000000002E-002 ,   20379.114644000001      ,   142.75542288633929      ,   48.391668775030261      ,              1000000 ,               450497

2.95,  -1340.4827040000000      ,   1802791.6826239999      ,   76.797154249673937      ,   5.5154520432112858E-003 ,  0.35948600000000003      ,   20332.504347999999      ,   142.59163761530968      ,   48.336148344172770      ,              1000000 ,               450845

2.95,  -1340.5076360000000      ,   1802883.4634080001      ,   76.959347929223910      ,   5.5271005407371383E-003 , -0.91791800000000001      ,   20100.405771999998      ,   141.77292829925349      ,   48.058619762458811      ,              1000000 ,               450973

