Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

2.2,  -2476.0603679999999      ,   6141618.1878079996      ,   103.64961084203328      ,   1.3384505532287354E-002 ,   898.93781000000001      ,   1600853.8220760000      ,   890.37331262139924      ,   404.71514210063600      ,              1000000 ,               149870

2.2,  -2473.4522720000000      ,   6129080.4546560002      ,   105.42444116066299      ,   1.3613693331697183E-002 ,   696.59923000000003      ,   1588304.6971560000      ,   1050.2638763279479      ,   477.39267105815810      ,              1000000 ,               151026

2.2,  -2476.3659160000002      ,   6143031.7363360003      ,   103.16775857544017      ,   1.3322282873894649E-002 ,  -441.39016400000003      ,   1602814.0427359999      ,   1186.5870241411092      ,   539.35773824595867      ,              1000000 ,               149793

2.2,  -2474.1022360000002      ,   6132043.6216799999      ,   104.21970782821911      ,   1.3458123428230773E-002 ,   668.67112999999995      ,   1592265.0526840000      ,   1070.1139998096105      ,   486.41545445891381      ,              1000000 ,               150314

2.2,  -2474.3614080000002      ,   6133368.3183040004      ,   104.42193689190451      ,   1.3484237718479402E-002 ,  -863.38169400000004      ,   1594122.6548039999      ,   921.24627829353551      ,   418.74830831524338      ,              1000000 ,               150479

2.2,  -2472.8789200000001      ,   6126265.7385919997      ,   105.52528422910324      ,   1.3626715422146593E-002 ,  -886.00646200000006      ,   1588220.6801000000      ,   896.22164077545153      ,   407.37347307975068      ,              1000000 ,               151170

2.2,  -2474.4733400000000      ,   6133898.4645280000      ,   104.30797743818351      ,   1.3469521879930720E-002 ,   698.58693800000003      ,   1594054.6512839999      ,   1051.6800565475148      ,   478.03638933977942      ,              1000000 ,               150772

2.2,  -2474.2700599999998      ,   6133100.7239199998      ,   105.30144399578265      ,   1.3597810433339699E-002 ,   59.351908000000002      ,   1590615.9986320001      ,   1259.7989322303617      ,   572.63587828652805      ,              1000000 ,               150361

2.2,  -2475.0640279999998      ,   6136944.1606240002      ,   104.89145782387142      ,   1.3544868004115626E-002 ,   323.82977599999998      ,   1595433.5218640000      ,   1220.8881185595139      ,   554.94914479977899      ,              1000000 ,               150285

