Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

1.4,  -3148.9646760000001      ,   9916429.1417120006      ,   21.227600340494366      ,   6.7690052106168267E-003 ,  -1586.2266040000000      ,   2516152.4359040000      ,   6.1316120740876841      ,   4.3797229100626316      ,              1000000 ,                 8434

1.4,  -3148.9868080000001      ,   9916568.4328959994      ,   21.225360726477383      ,   6.7682910479838609E-003 ,  -1586.2332719999999      ,   2516173.5750320000      ,   6.1304022848595947      ,   4.3788587748997108      ,              1000000 ,                 8744

1.4,  -3148.9623759999999      ,   9916415.6999999993      ,   21.252165452807812      ,   6.7768384734718801E-003 ,  -1586.2269739999999      ,   2516153.6581400000      ,   6.1355598606430730      ,   4.3825427576021951      ,              1000000 ,                 8556

1.4,  -3148.9610400000001      ,   9916407.0502400007      ,   21.246618604331580      ,   6.7750697080138974E-003 ,  -1586.2264700000001      ,   2516152.0641959999      ,   6.1359650698744987      ,   4.3828321927674994      ,              1000000 ,                 8452

1.4,  -3148.9504520000000      ,   9916339.9811039995      ,   21.237512872175191      ,   6.7721660944436209E-003 ,  -1586.2215460000000      ,   2516136.4446359999      ,   6.1360933312489054      ,   4.3829238080349331      ,              1000000 ,                 8495

1.4,  -3148.9698520000002      ,   9916462.3310880009      ,   21.241522617209696      ,   6.7734447121204399E-003 ,  -1586.2267019999999      ,   2516152.8245640001      ,   6.1379496742473876      ,   4.3842497673195631      ,              1000000 ,                 8514

1.4,  -3148.9692879999998      ,   9916459.0249920003      ,   21.247311001053596      ,   6.7752904977849485E-003 ,  -1586.2285919999999      ,   2516158.7908560000      ,   6.1355340189731393      ,   4.3825242992665281      ,              1000000 ,                 8798

1.4,  -3148.9867359999998      ,   9916567.8015999999      ,   21.221170940061469      ,   6.7669550191522551E-003 ,  -1586.2334260000000      ,   2516174.0596920000      ,   6.1300842002679206      ,   4.3786315716199438      ,              1000000 ,                 8538

1.4,  -3148.9906999999998      ,   9916593.0180960000      ,   21.227091404889563      ,   6.7688429224775403E-003 ,  -1586.2344680000001      ,   2516177.3550479999      ,   6.1292394925227773      ,   4.3780282089448415      ,              1000000 ,                 8585

