 Distacia_radial,Temperatura,Densidad
   4.0300000000000002      ,   0.0000000000000000      ,   0.0000000000000000     
   4.0899999999999999      ,   0.0000000000000000      ,   0.0000000000000000     
   4.1500000000000004      ,   0.0000000000000000      ,   0.0000000000000000     
   4.2100000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   4.2699999999999996      ,   0.0000000000000000      ,   0.0000000000000000     
   4.3300000000000001      ,   0.0000000000000000      ,   0.0000000000000000     
   4.3899999999999997      ,   0.0000000000000000      ,   0.0000000000000000     
   4.4500000000000002      ,   0.0000000000000000      ,   0.0000000000000000     
   4.5099999999999998      ,   0.0000000000000000      ,   0.0000000000000000     
   4.5700000000000003      ,   0.0000000000000000      ,   0.0000000000000000     
   4.6299999999999999      ,   0.0000000000000000      ,   0.0000000000000000     
   4.6899999999999995      ,   0.0000000000000000      ,   0.0000000000000000     
   4.7500000000000000      ,   0.0000000000000000      ,   0.0000000000000000     
   4.8099999999999996      ,   2.0618062230949210      ,  0.10281215692303670     
   4.8700000000000001      ,   2.3591953710227069      ,  0.14589806658310386     
   4.9299999999999997      ,   2.3424663735462889      ,  0.14029485710279993     
   4.9900000000000002      ,   2.2757441776797300      ,  0.14466461496225275     
   5.0499999999999998      ,   2.3043806191637497      ,  0.14272966405015994     
   5.1099999999999994      ,   2.3575537071124217      ,  0.14257208351430070     
   5.1699999999999999      ,   2.3331411753102458      ,  0.13796718786710085     
   5.2300000000000004      ,   2.3026750021661497      ,  0.13947459561834713     
   5.2900000000000000      ,   2.4073581477403003      ,  0.13694480831783351     
   5.3499999999999996      ,   2.2884706635923404      ,  0.13813022955896018     
   5.4100000000000001      ,   2.4047435681093274      ,  0.13682798322108145     
   5.4699999999999998      ,   2.3978314005409063      ,  0.13526120145865517     
   5.5300000000000002      ,   2.4107630839995280      ,  0.13500923335740561     
   5.5899999999999999      ,   2.3774767834432082      ,  0.13202047590470881     
   5.6500000000000004      ,   2.4007237015235696      ,  0.13444554297489525     
   5.7100000000000000      ,   2.4131415544546342      ,  0.13635361955195963     
   5.7699999999999996      ,   2.3815120264416283      ,  0.13922925968546204     
   5.8300000000000001      ,   2.4306873474065669      ,  0.14342153219647547     
   5.8899999999999997      ,   2.3866460539209999      ,  0.14212010038695533     
   5.9500000000000002      ,   2.4243751302952217      ,  0.14610526587014774     
   6.0099999999999998      ,   2.3970168494004915      ,  0.14237643978329029     
   6.0700000000000003      ,   2.3845240187643078      ,  0.14479514762030093     
   6.1299999999999999      ,   2.4542984896717339      ,  0.14783354014979178     
   6.1899999999999995      ,   2.4635547216652052      ,  0.14560459087273489     
   6.2500000000000000      ,   2.4733008146061635      ,  0.13997038841691092     
   6.3100000000000005      ,   2.4695480338409288      ,  0.14456614899836864     
   6.3700000000000001      ,   2.4621302936588561      ,  0.14839273892934093     
   6.4299999999999997      ,   2.4708924038550850      ,  0.14945363654284399     
   6.4900000000000002      ,   2.4810814635095797      ,  0.14884422494009861     
   6.5499999999999998      ,   2.4823258276594031      ,  0.14497054676698562     
   6.6099999999999994      ,   2.4821951614008060      ,  0.14638790951102643     
   6.6699999999999999      ,   2.4812364046594015      ,  0.14786519270754062     
   6.7300000000000004      ,   2.5351882916056536      ,  0.14827115915857184     
   6.7900000000000000      ,   2.5231578461863302      ,  0.14534591195830149     
   6.8499999999999996      ,   2.5246264471965114      ,  0.14454919504708172     
   6.9100000000000001      ,   2.4733977371891736      ,  0.14629967739548269     
   6.9699999999999998      ,   2.5420070455729551      ,  0.14534787349870767     
   7.0299999999999994      ,   2.5117253890894751      ,  0.14819105486733078     
