 Tiempo,Energia_pot,Energia_cin,Energia,Presion,Temperatura_md
   5.0000000000000003E-002 ,  -416.84293473756293      ,   658.28869238834909      ,   241.44575765078616      ,  0.43885912825889939      ,   1.0971478206472485     
  0.10000000000000001      ,  -427.02850246824295      ,   666.46693945565937      ,   239.43843698741642      ,  0.44431129297043953      ,   1.1107782324260989     
  0.14999999999999999      ,  -423.56732730173854      ,   660.74204129877000      ,   237.17471399703146      ,  0.44049469419918003      ,   1.1012367354979500     
  0.20000000000000001      ,  -415.15509272295293      ,   653.26453774216111      ,   238.10944501920818      ,  0.43550969182810739      ,   1.0887742295702685     
  0.25000000000000000      ,  -420.48780648380927      ,   655.18459412091875      ,   234.69678763710948      ,  0.43678972941394584      ,   1.0919743235348647     
  0.29999999999999999      ,  -413.17006434893949      ,   649.61705403720191      ,   236.44698968826242      ,  0.43307803602480122      ,   1.0826950900620032     
  0.35000000000000003      ,  -409.25376875971472      ,   642.00237916204037      ,   232.74861040232565      ,  0.42800158610802691      ,   1.0700039652700672     
  0.40000000000000002      ,  -409.11178451474467      ,   639.21108733079029      ,   230.09930281604562      ,  0.42614072488719357      ,   1.0653518122179839     
  0.45000000000000001      ,  -403.10392697905860      ,   634.72810342353921      ,   231.62417644448061      ,  0.42315206894902613      ,   1.0578801723725653     
  0.50000000000000000      ,  -403.17290061864230      ,   636.61579985893661      ,   233.44289924029431      ,  0.42441053323929107      ,   1.0610263330982277     
  0.55000000000000004      ,  -410.30468820988307      ,   637.87737159790117      ,   227.57268338801811      ,  0.42525158106526750      ,   1.0631289526631686     
  0.59999999999999998      ,  -408.85772254905862      ,   628.15818849556729      ,   219.30046594650867      ,  0.41877212566371153      ,   1.0469303141592787     
  0.65000000000000002      ,  -404.52230564662977      ,   623.82279355672074      ,   219.30048791009096      ,  0.41588186237114716      ,   1.0397046559278680     
  0.70000000000000007      ,  -403.75429670315549      ,   616.48603564047028      ,   212.73173893731479      ,  0.41099069042698017      ,   1.0274767260674504     
  0.75000000000000000      ,  -398.96349587335141      ,   610.27313388112680      ,   211.30963800777539      ,  0.40684875592075115      ,   1.0171218898018779     
  0.80000000000000004      ,  -396.39682955061249      ,   607.78224736845709      ,   211.38541781784460      ,  0.40518816491230480      ,   1.0129704122807619     
  0.85000000000000009      ,  -402.11066457808829      ,   621.53091511782327      ,   219.42025053973498      ,  0.41435394341188214      ,   1.0358848585297054     
  0.90000000000000002      ,  -402.01635691369546      ,   618.21401161332290      ,   216.19765469962744      ,  0.41214267440888191      ,   1.0303566860222049     
  0.95000000000000007      ,  -391.60674345712835      ,   603.52879574216445      ,   211.92205228503610      ,  0.40235253049477632      ,   1.0058813262369408     
   1.0000000000000000      ,  -395.03819862788987      ,   606.96024915443752      ,   211.92205052654765      ,  0.40464016610295833      ,   1.0116004152573959     
   1.0500000000000000      ,  -390.62060126908807      ,   603.97939690505905      ,   213.35879563597098      ,  0.40265293127003937      ,   1.0066323281750984     
   1.1000000000000001      ,  -397.66302191275463      ,   610.99904220631061      ,   213.33602029355598      ,  0.40733269480420703      ,   1.0183317370105176     
   1.1500000000000001      ,  -387.68515842767073      ,   600.68992954056318      ,   213.00477111289246      ,  0.40045995302704213      ,   1.0011498825676053     
   1.2000000000000000      ,  -389.27767045663438      ,   602.28862423901444      ,   213.01095378238006      ,  0.40152574949267628      ,   1.0038143737316907     
   1.2500000000000000      ,  -382.99238677504883      ,   595.64030271234060      ,   212.64791593729177      ,  0.39709353514156037      ,  0.99273383785390101     
   1.3000000000000000      ,  -389.26497799680521      ,   598.74015739649167      ,   209.47517939968645      ,  0.39916010493099441      ,  0.99790026232748608     
   1.3500000000000001      ,  -393.87417231257359      ,   607.53685273006363      ,   213.66268041749004      ,  0.40502456848670904      ,   1.0125614212167726     
   1.4000000000000001      ,  -393.22008850507967      ,   605.63476614135118      ,   212.41467763627151      ,  0.40375651076090074      ,   1.0093912769022519     
   1.4500000000000002      ,  -391.38350555912155      ,   601.44992187313039      ,   210.06641631400885      ,  0.40096661458208693      ,   1.0024165364552173     
   1.5000000000000000      ,  -410.29577837666881      ,   630.01626247449894      ,   219.72048409783014      ,  0.42001084164966596      ,   1.0500271041241649     
   1.5500000000000000      ,  -394.97167853161682      ,   622.60782886416234      ,   227.63615033254553      ,  0.41507188590944155      ,   1.0376797147736039     
   1.6000000000000001      ,  -381.14366249846813      ,   612.38829583786207      ,   231.24463333939394      ,  0.40825886389190807      ,   1.0206471597297702     
   1.6500000000000001      ,  -387.58122828663397      ,   622.00291201835648      ,   234.42168373172251      ,  0.41466860801223759      ,   1.0366715200305940     
   1.7000000000000002      ,  -401.12166424840797      ,   644.76391309789199      ,   243.64224884948402      ,  0.42984260873192803      ,   1.0746065218298200     
   1.7500000000000000      ,  -394.38511859559242      ,   638.85672182531960      ,   244.47160322972718      ,  0.42590448121687974      ,   1.0647612030421993     
   1.8000000000000000      ,  -395.90494654084523      ,   638.31496383179012      ,   242.41001729094489      ,  0.42554330922119338      ,   1.0638582730529835     
   1.8500000000000001      ,  -388.69732909296141      ,   627.77018019514333      ,   239.07285110218191      ,  0.41851345346342883      ,   1.0462836336585721     
   1.9000000000000001      ,  -385.12297780018787      ,   624.29120740404096      ,   239.16822960385309      ,  0.41619413826936064      ,   1.0404853456734016     
   1.9500000000000002      ,  -393.44036552360342      ,   634.61912918987184      ,   241.17876366626842      ,  0.42307941945991451      ,   1.0576985486497863     
   2.0000000000000000      ,  -400.95444194682335      ,   646.68793775642007      ,   245.73349580959672      ,  0.43112529183761344      ,   1.0778132295940335     
