# Temperature, Energy, Err Energy, Var Energy, Cv, Magnetization, Err Magnetization, Var Magnetization, X, Neff
3.600000000000000089e+00 -2.695979470000009997e+02 7.182041474931706582e-02 3.839618301709215586e+01 2.843880890155511820e-01 1.531803194444444627e-01 3.904461438281197380e-04 4.607082283076433527e+01 1.473975243276056002e+00 5.431851111111111186e-01
1.850000000000000089e+00 -7.839485291555481581e+02 1.407307850301166285e-02 2.366765353010451989e+01 4.091730494115268235e-01 9.595274733333332140e-01 1.426495589430813290e-05 8.003822902857551824e+00 8.656922367670784324e-02 3.930377777777777776e-02
3.200000000000000178e+00 -3.285009789111122700e+02 5.365029882403218875e-02 4.443146581910745141e+01 4.819717868797376847e-01 2.506571727777777703e-01 2.679142281497274192e-04 5.342971716714103536e+01 2.230265900529978307e+00 4.687885555555555417e-01
2.350000000000000089e+00 -6.460625264666584826e+02 1.008647533127057933e-01 4.751731782939757665e+01 1.022135746748746854e+00 8.180979727777777377e-01 1.665634051130092711e-04 2.699267708554514300e+01 7.751183341220274636e-01 1.536962222222222063e-01
2.950000000000000178e+00 -3.890429538230052913e+02 1.061778797141333941e-01 5.126027130245382324e+01 7.548451560825699680e-01 3.707500011111111160e-01 4.278782759200497462e-04 5.730456063722775895e+01 2.782898217199682556e+00 4.013202222222222448e-01
2.450000000000000178e+00 -6.025799802969826260e+02 1.545377305910404786e-01 5.245964809110753890e+01 1.146195787540047473e+00 7.592558294444444744e-01 2.872421066843499379e-04 3.430605994955950422e+01 1.200928444342991952e+00 1.928981111111111313e-01
1.949999999999999956e+00 -7.656831526000000849e+02 4.366235002737613863e-02 2.773675866180069249e+01 5.058040802541420300e-01 9.443123594444444713e-01 3.657366732169032138e-05 1.012910481340358615e+01 1.315369251395769601e-01 5.337288888888889332e-02
1.550000000000000044e+00 -8.193993765328582413e+02 8.510932462529170045e-03 1.377654212452056903e+01 1.974954973258288282e-01 9.862777133333332502e-01 6.924480726640224887e-06 3.968239369742871947e+00 2.539827257932950749e-02 1.358855555555555511e-02
1.350000000000000089e+00 -8.312880561535680499e+02 4.668415263624126413e-03 8.771874972780775437e+00 1.055498018052527798e-01 9.943987927777777625e-01 2.899843971976535931e-06 2.358481472571853477e+00 1.030080981733811143e-02 5.592555555555555474e-03
1.149999999999999911e+00 -8.371494679757179256e+02 1.958584288426621321e-03 4.937807578283571530e+00 4.609065010169621085e-02 9.982121105555554763e-01 1.171408090115618342e-06 1.267041200766191755e+00 3.489987426485241170e-03 1.802444444444444406e-03
1.199999999999999956e+00 -8.361257737754996242e+02 5.492383254253269467e-03 5.775452383766543463e+00 5.790951083688496842e-02 9.975572333333333486e-01 3.628351324416124728e-06 1.496358261808157897e+00 4.664770393544501181e-03 2.438333333333333585e-03
3.500000000000000000e+00 -2.816360352666677045e+02 5.141115888254962213e-02 3.949536425385987570e+01 3.183437452898856823e-01 1.709009149999999866e-01 2.893331412057727854e-04 4.769531652585503423e+01 1.624888647256705676e+00 5.273727777777778014e-01
2.549999999999999822e+00 -5.552622335092140702e+02 1.127754400070434260e-01 5.611603559192753465e+01 1.210692564557332096e+00 6.866594261111110820e-01 2.257589514747957641e-04 4.238732542844388718e+01 1.761457294394740636e+00 2.365344444444444361e-01
2.299999999999999822e+00 -6.658003508444458021e+02 8.533362375604650052e-02 4.483322481614379740e+01 9.499151207843801181e-01 8.423916155555555285e-01 1.534723433725241639e-04 2.379287321023598167e+01 6.153298964534945625e-01 1.366641111111111251e-01
3.100000000000000089e+00 -3.494780397333336168e+02 9.613534608050139374e-02 4.686836278958195123e+01 5.714475179812444905e-01 2.907862377777777341e-01 3.367210941327392049e-04 5.535422371074162839e+01 2.471044809197907810e+00 4.443815555555555852e-01
1.699999999999999956e+00 -8.048832979999627923e+02 1.466070499765873003e-02 1.835007260547892827e+01 2.912847781460097263e-01 9.757663277777777200e-01 1.274233192314560648e-05 5.665469951943133964e+00 4.720229972103492933e-02 2.392333333333333117e-02
3.299999999999999822e+00 -3.106316556444442085e+02 4.162657684477513026e-02 4.248940713916477563e+01 4.144514612185351554e-01 2.183920799999999884e-01 2.103862546867348244e-04 5.145385385430259362e+01 2.005682017886558199e+00 4.902123333333333055e-01
1.899999999999999911e+00 -7.753578155999990713e+02 1.661579125663556825e-02 2.563438356263518969e+01 4.550705027798003788e-01 9.525053344444444070e-01 2.262102861946277611e-05 8.979177787437478742e+00 1.060865003156679365e-01 4.586366666666666370e-02
3.149999999999999911e+00 -3.385426143777791026e+02 1.168264747405543119e-01 4.563254410460285015e+01 5.246485731120134055e-01 2.696374483333333072e-01 3.711243999284063295e-04 5.443142226856480903e+01 2.351413774697975079e+00 4.571299999999999808e-01
2.799999999999999822e+00 -4.411715928807720957e+02 1.106476691213822278e-01 5.575795945342898818e+01 9.913763060018891959e-01 4.770665327777778297e-01 3.445490368027950075e-04 5.629517208761120628e+01 2.829602616335816112e+00 3.468125555555555684e-01
3.799999999999999822e+00 -2.489990165777795994e+02 3.142160511446474846e-02 3.668593460088009550e+01 2.330087385118681798e-01 1.258357255555555554e-01 1.700434323512745852e-04 4.320261289988550857e+01 1.227938633710434324e+00 5.714868888888888776e-01
3.350000000000000089e+00 -3.026546510444411524e+02 7.093324993596576700e-02 4.164552459271627072e+01 3.863558444873317343e-01 2.047242316666667006e-01 3.020829645239091047e-04 5.046798576525603863e+01 1.900760555945338437e+00 5.006324444444444355e-01
