Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

1.2,  -795.40560919999996      ,   632709.78148000001      ,   6.3006613285353330      ,   1.0938648139818286E-002 ,   398.80169560000002      ,   159045.72630800001      ,   1.7128615136521124      ,   1.4273845947100936      ,             10000000 ,                29877

1.2,  -795.35231880000003      ,   632624.26738079998      ,   6.2415030451848263      ,   1.0835942786779212E-002 ,   398.78582680000000      ,   159033.00172400000      ,   1.6929463784758645      ,   1.4107886487298871      ,             10000000 ,                30100

1.2,  -795.57269799999995      ,   632973.03544480004      ,   6.0924249524223217      ,   1.0577126653510975E-002 ,   398.84831800000001      ,   159082.65417520000      ,   1.6350546690757992      ,   1.3625455575631660      ,             10000000 ,                29066

1.2,  -795.33757319999995      ,   632601.61945120001      ,   6.3058788074921246      ,   1.0947706263007161E-002 ,   398.78578740000000      ,   159032.98373080001      ,   1.6969085308344858      ,   1.4140904423620715      ,             10000000 ,                30282

1.2,  -795.45162040000002      ,   632782.41702239995      ,   6.2559272225824811      ,   1.0860984761427918E-002 ,   398.81381800000003      ,   159055.30087440001      ,   1.6850657740477004      ,   1.4042214783730838      ,             10000000 ,                29492

1.2,  -795.54840600000000      ,   632935.46307679999      ,   6.1803549784130727      ,   1.0729782948633807E-002 ,   398.83861080000003      ,   159075.02048480001      ,   1.6682385699017854      ,   1.3901988082514880      ,             10000000 ,                29245

1.2,  -795.40062279999995      ,   632701.22461599996      ,   6.2509091636421577      ,   1.0852272853545413E-002 ,   398.80095240000003      ,   159045.04683760001      ,   1.6873655362482314      ,   1.4061379468735262      ,             10000000 ,                29965

1.2,  -795.39473680000003      ,   632691.82981439994      ,   6.2483986155380977      ,   1.0847914263086976E-002 ,   398.79696880000000      ,   159041.88465440000      ,   1.6918422892859541      ,   1.4098685744049619      ,             10000000 ,                30223

1.2,  -795.41170799999998      ,   632718.55227200000      ,   6.2263190187164366      ,   1.0809581629716035E-002 ,   398.80342480000002      ,   159047.00235120000      ,   1.6824740683693988      ,   1.4020617236411657      ,             10000000 ,                29797

