Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

2.85,  -353.36337600000002      ,   126438.11132800000      ,   39.653950999649602      ,   1.2204971067913082E-002 ,  0.53727400000000003      ,   6306.0539639999997      ,   79.408849007203997      ,   27.862754037615439      ,              1000000 ,               427057

2.85,  -353.33366400000000      ,   126419.22540800000      ,   39.680565675593691      ,   1.2213162719480976E-002 , -0.24869200000000000      ,   6298.1703360000001      ,   79.360623033650242      ,   27.845832643386050      ,              1000000 ,               427928

2.85,  -353.52090399999997      ,   126551.49366399999      ,   39.679517373864222      ,   1.2212840065824630E-002 , -0.46211799999999997      ,   6293.4733960000003      ,   79.330068971065927      ,   27.835111919672254      ,              1000000 ,               426214

2.85,  -353.36902400000002      ,   126445.10464000001      ,   39.691781482914237      ,   1.2216614799296472E-002 ,   4.5024000000000002E-002 ,   6324.5356480000000      ,   79.526936448221264      ,   27.904188227446056      ,              1000000 ,               427357

2.85,  -353.38779599999998      ,   126458.44625600000      ,   39.692718403535878      ,   1.2216903171294514E-002 ,   9.8974000000000006E-002 ,   6297.7670520000001      ,   79.358410116050862      ,   27.845056181070476      ,              1000000 ,               426860

2.85,  -353.32961200000000      ,   126418.11819199999      ,   39.702688522686387      ,   1.2219971844471033E-002 ,  0.14345800000000000      ,   6304.8499720000000      ,   79.402955812754456      ,   27.860686250089280      ,              1000000 ,               427489

2.85,  -353.36984000000001      ,   126442.46361599999      ,   39.651226896205635      ,   1.2204132624255352E-002 ,  0.34278999999999998      ,   6292.0401080000001      ,   79.321640193681702      ,   27.832154453923405      ,              1000000 ,               427360

2.85,  -353.47496799999999      ,   126519.20998400000      ,   39.681947802482895      ,   1.2213588120185564E-002 ,   4.1154000000000003E-002 ,   6313.5011240000003      ,   79.457532244264200      ,   27.879835875180419      ,              1000000 ,               426416

2.85,  -353.39684399999999      ,   126465.92596800000      ,   39.706380077257997      ,   1.2221108057020005E-002 , -0.44274599999999997      ,   6315.5887000000002      ,   79.469444920544674      ,   27.884015761594622      ,              1000000 ,               427368

