Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

8.5,  -96.576087999999999      ,   10174.471264000000      ,   29.112376931749431      ,   1.0073486827594958E-003 , -0.39007199999999997      ,   679.86662400000000      ,   26.071334216622208      ,   3.0672157901908479      ,              1000000 ,               821519

8.5,  -96.323751999999999      ,   10140.992800000000      ,   29.372224986243317      ,   1.0163399649219141E-003 ,  -8.3295999999999995E-002 ,   676.19509600000004      ,   26.003618167024065      ,   3.0592491961204784      ,              1000000 ,               822508

8.5,  -96.081515999999993      ,   10094.652688000000      ,   29.376776050849163      ,   1.0164974412058534E-003 ,  0.24086199999999999      ,   699.36965199999997      ,   26.444501082398133      ,   3.1111177743997804      ,              1000000 ,               822712

8.5,  -96.021860000000004      ,   10076.709008000000      ,   29.266216191035010      ,   1.0126718405202425E-003 ,  0.58580200000000004      ,   721.67885200000001      ,   26.857693274307753      ,   3.1597286205067943      ,              1000000 ,               821416

8.5,  -96.585476000000000      ,   10171.182832000000      ,   29.024621579848802      ,   1.0043121653926922E-003 ,  0.83299000000000001      ,   664.48590000000002      ,   25.764161691386352      ,   3.0310778460454531      ,              1000000 ,               822237

8.5,  -96.471788000000004      ,   10186.882544000000      ,   29.666086093097203      ,   1.0265081693113219E-003 , -0.42564400000000002      ,   714.42567199999996      ,   26.725353116194068      ,   3.1441591901404786      ,              1000000 ,               822420

8.5,  -96.318151999999998      ,   10127.600160000000      ,   29.161854455862315      ,   1.0090607078153051E-003 , -0.93367199999999995      ,   688.39766399999996      ,   26.220715485974367      ,   3.0847900571734548      ,              1000000 ,               821788

8.5,  -95.952016000000000      ,   10073.279232000001      ,   29.436199780809748      ,   1.0185536256335553E-003 ,  -3.7325999999999998E-002 ,   692.29877999999997      ,   26.311544743129847      ,   3.0954758521329233      ,              1000000 ,               823318

8.5,  -96.107063999999994      ,   10112.244896000000      ,   29.591842546551668      ,   1.0239391884619953E-003 ,  0.45426600000000000      ,   663.11221999999998      ,   25.746958313580343      ,   3.0290539192447463      ,              1000000 ,               822078

