Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

1.8,  -748.64423541962492      ,   561027.13367671391      ,   23.641963744137932      ,   1.8242255975415071E-002 ,   383.18554200000000      ,   146908.24606800001      ,   8.7798900998959191      ,   4.8777167221643998      ,              1000000 ,                40576

1.8,  -748.64315667963251      ,   561022.98183000879      ,   23.588255271723533      ,   1.8200814252873097E-002 ,   383.19166799999999      ,   146912.15535200000      ,   8.7350402047026421      ,   4.8528001137236902      ,              1000000 ,                40066

1.8,  -748.71027951964049      ,   561123.58736179152      ,   23.590351913724092      ,   1.8202432032194515E-002 ,   383.21195200000000      ,   146927.88414400001      ,   8.7455124692441153      ,   4.8586180384689532      ,              1000000 ,                40474

1.8,  -748.68092159965420      ,   561080.48276051949      ,   23.608481383010304      ,   1.8216420820224000E-002 ,   383.19815999999997      ,   146917.60258400001      ,   8.7620064262947945      ,   4.8677813479415528      ,              1000000 ,                40523

1.8,  -748.66416063962697      ,   561053.76320797985      ,   23.574091323796640      ,   1.8189885280707283E-002 ,   383.19966399999998      ,   146918.25516800000      ,   8.7334230566896132      ,   4.8519016981608960      ,              1000000 ,                40494

1.8,  -748.68736737967095      ,   561089.56081666599      ,   23.596329010326876      ,   1.8207043989449750E-002 ,   383.20273800000001      ,   146920.97203599999      ,   8.7540633595683381      ,   4.8633685330935208      ,              1000000 ,                40483

1.8,  -748.66145957961680      ,   561052.05760898977      ,   23.623643857533033      ,   1.8228120260442154E-002 ,   383.19115799999997      ,   146912.33527600000      ,   8.7676511460620876      ,   4.8709173033678264      ,              1000000 ,                40615

1.8,  -748.64537605966859      ,   561028.94275335083      ,   23.644104081741791      ,   1.8243907470479777E-002 ,   383.18560600000001      ,   146908.32293200001      ,   8.7814740455561324      ,   4.8785966919756287      ,              1000000 ,                40065

1.8,  -748.63450865965012      ,   561009.53803860769      ,   23.577753975556686      ,   1.8192711400892504E-002 ,   383.18926599999998      ,   146910.25058800000      ,   8.7313807832021517      ,   4.8507671017789731      ,              1000000 ,                40332

