Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

2.15,  -651.65910660008922      ,   426631.25337024854      ,   44.403402520776389      ,   2.4014820184303079E-002 ,   284.43425999999999      ,   115899.24884000000      ,   187.07324923209200      ,   87.010813596321867      ,              1000000 ,               122084

2.15,  -652.12363290008773      ,   427232.15951372369      ,   44.350049908825369      ,   2.3985965337385274E-002 ,   305.59568999999999      ,   116021.28652400000      ,   150.44122034011789      ,   69.972660623310645      ,              1000000 ,               122256

2.15,  -652.38307066008747      ,   427557.86090366484      ,   44.206221505351344      ,   2.3908178207329014E-002 ,   312.32426600000002      ,   116116.82758000000      ,   136.27318315633940      ,   63.382875886669488      ,              1000000 ,               121880

2.15,  -650.57641246012190      ,   425275.93915981759      ,   45.014116789457709      ,   2.4345114542702929E-002 ,   263.29684600000002      ,   115389.23710800000      ,   214.62527342895169      ,   99.825708571605446      ,              1000000 ,               123443

2.15,  -652.72599202012373      ,   427992.19535417628      ,   44.056494362598116      ,   2.3827200845104448E-002 ,   323.94320199999999      ,   116246.83066000001      ,   106.33735250600898      ,   49.459233723725113      ,              1000000 ,               122130

2.15,  -652.56891354009997      ,   427785.69826179213      ,   44.039883547594343      ,   2.3818217170142968E-002 ,   316.58735400000000      ,   116224.11298000001      ,   126.47750893846182      ,   58.826748343470619      ,              1000000 ,               121632

2.15,  -652.77928854008394      ,   428070.12211920455      ,   44.151133307157366      ,   2.3878384698300364E-002 ,   323.18525399999999      ,   116287.55737200000      ,   108.80647484849183      ,   50.607662720228760      ,              1000000 ,               121456

2.15,  -652.28977354011874      ,   427451.18407715397      ,   44.376068011198967      ,   2.4000036782692791E-002 ,   310.96215400000000      ,   116072.48221200000      ,   139.19418447507167      ,   64.741481151196126      ,              1000000 ,               121641

2.15,  -652.89745690008351      ,   428209.81914320623      ,   43.985564866326584      ,   2.3788839841171763E-002 ,   325.57488999999998      ,   116351.22953200000      ,   101.74586248829930      ,   47.323656971302000      ,              1000000 ,               121761

