Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

2.85,  -354.40060025998429      ,   127208.23476899462      ,   40.105477236375677      ,   1.2343944978878325E-002 ,   22.793226000000001      ,   6751.7269560000004      ,   78.944257577818306      ,   27.699739500988880      ,              1000000 ,               425159

2.85,  -354.36101828001097      ,   127176.05216372281      ,   40.053974675137283      ,   1.2328093159475926E-002 ,   21.621027999999999      ,   6706.4711120000002      ,   78.987355065372441      ,   27.714861426446468      ,              1000000 ,               425314

2.85,  -354.43702123999674      ,   127234.66546110694      ,   40.113132956988508      ,   1.2346301310245771E-002 ,   22.062923999999999      ,   6777.2382719999996      ,   79.312455872770855      ,   27.828931885182755      ,              1000000 ,               425272

2.85,  -354.29391381998846      ,   127131.19845592324      ,   40.087667505578672      ,   1.2338463375062688E-002 ,   22.462582000000001      ,   6770.6042600000001      ,   79.158301332793116      ,   27.774842572909865      ,              1000000 ,               425655

2.85,  -354.28572617999873      ,   127118.95394454815      ,   40.007226467965943      ,   1.2313704668502906E-002 ,   21.703018000000000      ,   6715.8677239999997      ,   79.024342665356443      ,   27.727839531704014      ,              1000000 ,               426273

2.85,  -354.36419245998400      ,   127179.63742022743      ,   40.070644147690572      ,   1.2333223806614519E-002 ,   21.457246000000001      ,   6713.2757799999999      ,   79.075042675268179      ,   27.745629008866025      ,              1000000 ,               425317

2.85,  -354.32021439999977      ,   127140.98866006310      ,   39.977172581378241      ,   1.2304454472569479E-002 ,   22.323440000000002      ,   6721.2598239999998      ,   78.885511030647450      ,   27.679126677420157      ,              1000000 ,               426057

2.85,  -354.31314107999390      ,   127146.58803333358      ,   40.109675782308720      ,   1.2345237236783232E-002 ,   22.482907999999998      ,   6750.4646400000001      ,   79.025207926733970      ,   27.728143132187355      ,              1000000 ,               425551

2.85,  -354.31686253998981      ,   127147.19909107387      ,   40.084411070786942      ,   1.2337461086730360E-002 ,   22.047453999999998      ,   6744.3061960000005      ,   79.108886783457422      ,   27.757504134546462      ,              1000000 ,               425113

