Temperatura, Energy_med,Energy2_med,var_energy,Cv,Magnetization_med,Magnetization2_med,var_magnetization,X,N_tot,N_fav

2.25,  -602.54382493996343      ,   365982.38972137874      ,   54.067816195010771      ,   2.6700156145684332E-002 ,   261.67769399999997      ,   94987.894052000003      ,   162.82714305312362      ,   72.367619134721608      ,              1000000 ,               167404

2.25,  -602.79527043996870      ,   366289.16684500111      ,   54.102021960423130      ,   2.6717047881690433E-002 ,   266.15184399999998      ,   95047.032808000004      ,   155.59636481421950      ,   69.153939917430890      ,              1000000 ,               167507

2.25,  -602.88018193997368      ,   366382.03914217255      ,   54.014121914521191      ,   2.6673640451615403E-002 ,   269.94459400000000      ,   95076.946947999997      ,   149.01967359437870      ,   66.230966041946090      ,              1000000 ,               166938

2.25,  -603.34821027998350      ,   366904.45414883300      ,   53.622675248199151      ,   2.6480333455900815E-002 ,   274.34982800000000      ,   95440.292031999998      ,   142.02979936749333      ,   63.124355274441477      ,              1000000 ,               166679

2.25,  -602.31822520001583      ,   365720.94082049868      ,   54.163607822980936      ,   2.6747460653323920E-002 ,   263.03771999999998      ,   94776.470872000005      ,   159.96133510696146      ,   71.093926714205097      ,              1000000 ,               169109

2.25,  -602.34548703996381      ,   365766.10449784494      ,   54.277239616930906      ,   2.6803575119472053E-002 ,   258.52390400000002      ,   94818.497184000007      ,   167.28385530169606      ,   74.348380134087137      ,              1000000 ,               168012

2.25,  -602.79103141997518      ,   366263.53007826651      ,   53.911988628773344      ,   2.6623204261122638E-002 ,   263.43714199999999      ,   95078.962020000006      ,   160.24928778272883      ,   71.221905681212817      ,              1000000 ,               167605

2.25,  -602.58882375998496      ,   366029.02532378206      ,   53.997544419536482      ,   2.6665454034339002E-002 ,   261.22437600000001      ,   94946.322920000006      ,   163.42627788520002      ,   72.633901282311115      ,              1000000 ,               167342

2.25,  -602.59023932000468      ,   366028.40039542271      ,   53.975956422116148      ,   2.6654793294872171E-002 ,   260.19193200000001      ,   95026.927368000004      ,   165.30906173016464      ,   73.470694102295397      ,              1000000 ,               167025

